dept_id,dept_name,location,manager_id,phone_number,email,status,created_at
1,"Human Resources                                   ","New York                                          ",1,"123-456-1111   ","hr_ny@example.com                                                                                   ","Active              ",2026-03-14 09:48:26.2930000
2,"Finance                                           ","Los Angeles                                       ",2,"234-567-2222   ","finance_la@example.com                                                                              ","Active              ",2026-03-14 09:48:26.2930000
3,"IT                                                ","Chicago                                           ",3,"345-678-3333   ","it_chicago@example.com                                                                              ","Active              ",2026-03-14 09:48:26.2930000
4,"Marketing                                         ","Miami                                             ",4,"456-789-4444   ","marketing_miami@example.com                                                                         ","Active              ",2026-03-14 09:48:26.2930000
5,"Sales                                             ","Houston                                           ",5,"567-890-5555   ","sales_houston@example.com                                                                           ","Active              ",2026-03-14 09:48:26.2930000
6,"Operations                                        ","Boston                                            ",6,"678-901-6666   ","operations_boston@example.com                                                                       ","Active              ",2026-03-14 09:48:26.2930000
7,"Customer Support                                  ","Seattle                                           ",7,"789-012-7777   ","support_seattle@example.com                                                                         ","Active              ",2026-03-14 09:48:26.2930000
8,"Research & Development                            ","Austin                                            ",8,"890-123-8888   ","rnd_austin@example.com                                                                              ","Active              ",2026-03-14 09:48:26.2930000
9,"Legal                                             ","San Francisco                                     ",9,"901-234-9999   ","legal_sf@example.com                                                                                ","Active              ",2026-03-14 09:48:26.2930000
10,"Procurement                                       ","Denver                                            ",10,"012-345-1010   ","procurement_denver@example.com                                                                      ","Active              ",2026-03-14 09:48:26.2930000
11,"Quality Assurance                                 ","Orlando                                           ",11,"123-456-1112   ","qa_orlando@example.com                                                                              ","Active              ",2026-03-14 09:48:26.2930000
12,"Administration                                    ","Philadelphia                                      ",12,"234-567-2223   ","admin_philadelphia@example.com                                                                      ","Active              ",2026-03-14 09:48:26.2930000
13,"Logistics                                         ","Dallas                                            ",13,"345-678-3334   ","logistics_dallas@example.com                                                                        ","Active              ",2026-03-14 09:48:26.2930000
14,"Training                                          ","Phoenix                                           ",14,"456-789-4445   ","training_phoenix@example.com                                                                        ","Active              ",2026-03-14 09:48:26.2930000
15,"Public Relations                                  ","Portland                                          ",15,"567-890-5556   ","pr_portland@example.com                                                                             ","Active              ",2026-03-14 09:48:26.2930000
